index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
303,CHEMBL3661762,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2C2CCC2)[nH]1,active,453.59,5.5015,1,4,6.823908741
304,CHEMBL3666474,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)c(C)cc2SC)[nH]1,intermediate,445.592,4.9559,1,5,5.876148359
305,CHEMBL3666475,COc1ccc(C2CCN(C(=O)c3ccc(C)c(C(=O)Nc4ccc(N5CCCC5)nc4)c3)CC2)cc1,intermediate,498.627,5.27092,1,5,5.455931956
306,CHEMBL3666476,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)NCC1CCCO1,inactive,431.536,3.7953,1,4,4.662540739
307,CHEMBL3666477,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)NC1CCOC1,intermediate,417.509,3.4052,1,4,5.272214826
308,CHEMBL3666478,N#Cc1ccc(C2CCN(C(=O)c3cccc(C(=O)Nc4ccc(N5CCCC5)nc4)c3)CC2)cc1,active,479.584,4.82558,1,5,6.602059991
309,CHEMBL3666479,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)NCC1CCNCC1,inactive,444.579,3.6159,2,4,4.301029996
310,CHEMBL3666480,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)NCC1CCN(C)CC1,inactive,458.606,3.9581,1,4,4.301029996
311,CHEMBL3666481,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)NCC1CCOC1,inactive,431.536,3.6528,1,4,4.301029996
312,CHEMBL3666482,Cc1ccc(C(=O)N2CCC(c3ccncc3)CC2)cc1C(=O)Nc1ccc(N2CCCC2)nc1,inactive,469.589,4.65732,1,5,4.519131076
313,CHEMBL3666483,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)Nc1ccc(N(C)CCO)nc1,active,497.599,3.9623,2,6,6.408935393
314,CHEMBL3666484,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)Nc1ccc(N2CC(O)C2)nc1,intermediate,495.583,3.7147,2,6,5.869666232
315,CHEMBL3666485,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1C(=O)Nc1ccc(N2CCN(C)CC2)nc1,intermediate,522.653,4.2856,1,6,5.70333481
316,CHEMBL2322367,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nc2cc(N3CCN(C)CC3)ncc2[nH]1,active,519.653,4.5766,1,6,6.283996656
317,CHEMBL2322366,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nc2cc(N3CC(O)C3)ncc2[nH]1,active,492.583,4.0057,2,6,6.522878745
318,CHEMBL3666486,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nc2cc(N(C)CCO)ncc2[nH]1,active,494.599,4.2533,2,6,7.22184875
319,CHEMBL3666487,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nnc(C(C)C)[nH]1,intermediate,413.525,4.795,1,4,5.629857153
320,CHEMBL3666488,CCc1nnc(-c2cc(C(=O)N3CCC(c4ccc(C#N)cc4)CC3)ccc2C)[nH]1,intermediate,399.498,4.234,1,4,5.648783655
321,CHEMBL3666489,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nnc(N[C@H]2CCOC2)[nH]1,intermediate,456.55,3.8724,2,6,5.042871802
322,CHEMBL3666490,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nnc(N[C@@H]2CCOC2)[nH]1,inactive,456.55,3.8724,2,6,4.932557157
323,CHEMBL3666491,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1-c1nnc(N[C@@H]2CCOC2)[nH]1,intermediate,474.54,3.9536,2,6,5.756961951
324,CHEMBL3666492,Cc1cc(C)c(-c2nnc(NC3CCOC3)[nH]2)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,470.577,4.18082,2,6,6.48148606
325,CHEMBL3666493,Cc1ccc(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1Nc1nnc(-c2ccncc2)o1,active,464.529,5.0751,1,7,6.15490196
