Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems [idcode]
CHEMBL1934432,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C(=O)c2ccccc2)c1C,392.41,0,4.55,IC50,'=',1500,nM,5.82,gKX@@eKcRp@
CHEMBL1934438,Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,306.37,0,4.73,IC50,'=',210,nM,6.68,gKX@@eKcRp@
CHEMBL1934446,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cnc(Cl)c(CO)c1,376.85,0,4.1,IC50,'=',110,nM,6.96,gKX@@eKcRp@
CHEMBL1934445,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cncc(CO)c1,342.4,0,3.45,IC50,'=',600,nM,6.22,gKX@@eKcRp@
CHEMBL1934429,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(-c2ccccc2)c1C,364.4,0,4.85,IC50,'=',550,nM,6.26,gKX@@eKcRp@
CHEMBL1934447,Cc1c(-c2ccc(C#N)cc2)c(C#N)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',490,nM,6.31,gKX@@eKcRp@
CHEMBL1934446,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cnc(Cl)c(CO)c1,376.85,0,4.1,IC50,'=',25,nM,7.6,gKX@@eKcRp@
CHEMBL1934427,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccc([N+](=O)[O-])cc1,288.3,0,3.38,IC50,'=',34,nM,7.47,gKX@@eKcRp@
CHEMBL1934429,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(-c2ccccc2)c1C,364.4,0,4.85,IC50,'=',220,nM,6.66,gKX@@eKcRp@
CHEMBL1934432,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C(=O)c2ccccc2)c1C,392.41,0,4.55,IC50,'=',85,nM,7.07,gKX@@eKcRp@
CHEMBL1934434,COC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,364.4,0,4.52,IC50,'=',3.8,nM,8.42,gKX@@eKcRp@
CHEMBL1934436,Cc1c(CO)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,336.39,0,4.22,IC50,'=',92,nM,7.04,gKX@@eKcRp@
CHEMBL1934438,Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,306.37,0,4.73,IC50,'=',3100,nM,5.51,gKX@@eKcRp@
CHEMBL480934,Cn1cc(N(Cc2ccc(O)cc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,420.47,0,4.21,IC50,'=',4800,nM,5.32,gKX@@eKcRp@
CHEMBL518945,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,404.47,0,4.51,IC50,'=',440,nM,6.36,gKX@@eKcRp@
CHEMBL481355,CCN(c1ccc([N+](=O)[O-])cc1)c1cc(C(=O)N2CCCC2)n(C)c1,342.4,0,3.33,IC50,'=',15500,nM,4.81,gKX@@eKcRp@
CHEMBL480183,Cc1cc(C)cc(N(C)c2cc(C(=O)N3CCCC3)n(C)c2)c1,311.43,0,3.65,IC50,'=',26000,nM,4.58,gKX@@eKcRp@
CHEMBL519780,Cn1cc(N(CC2CCCCC2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,410.52,0,4.89,IC50,'=',880,nM,6.06,gKX@@eKcRp@
CHEMBL1934437,CC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,348.4,0,4.93,IC50,'=',4600,nM,5.34,gKX@@eKcRp@
CHEMBL1934439,COC(=O)c1c(-c2ccccc2)c(C)n(Cc2ccccc2)c1C,319.4,0,4.61,IC50,'=',1300,nM,5.89,gKX@@eKcRp@
CHEMBL1934443,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1,312.38,0,3.96,IC50,'=',190,nM,6.72,gKX@@eKcRp@
CHEMBL1934443,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1,312.38,0,3.96,IC50,'=',3.4,nM,8.47,gKX@@eKcRp@
CHEMBL1934446,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cnc(Cl)c(CO)c1,376.85,0,4.1,IC50,'=',37,nM,7.43,gKX@@eKcRp@
CHEMBL1934430,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,378.43,0,4.91,IC50,'=',5.2,nM,8.28,gKX@@eKcRp@
CHEMBL480162,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(N)=O,350.38,0,3.37,IC50,'=',1950,nM,5.71,gKX@@eKcRp@
CHEMBL481939,Cc1ccc(CN(c2ccc([N+](=O)[O-])cc2)c2cc(C(=O)N3CCCC3)n(C)c2)cc1,418.5,0,4.82,IC50,'=',4700,nM,5.33,gKX@@eKcRp@
CHEMBL481107,Cn1cc(N(Cc2ccc(F)cc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,422.46,0,4.65,IC50,'=',4000,nM,5.4,gKX@@eKcRp@
CHEMBL481515,Cc1cc(C)cc(N(Cc2ccc(O)cc2)c2cc(C(=O)N3CCCC3)n(C)c2)c1,403.53,0,4.92,IC50,'=',6600,nM,5.18,gKX@@eKcRp@
CHEMBL1934444,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccc(Cl)nc1,346.82,0,4.61,IC50,'=',9,nM,8.05,gKX@@eKcRp@
CHEMBL1934439,COC(=O)c1c(-c2ccccc2)c(C)n(Cc2ccccc2)c1C,319.4,0,4.61,IC50,'=',65,nM,7.19,gKX@@eKcRp@
CHEMBL1934427,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccc([N+](=O)[O-])cc1,288.3,0,3.38,IC50,'=',240,nM,6.62,gKX@@eKcRp@
CHEMBL1934430,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,378.43,0,4.91,IC50,'=',340,nM,6.47,gKX@@eKcRp@
CHEMBL1934443,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1,312.38,0,3.96,IC50,'=',65,nM,7.19,gKX@@eKcRp@
CHEMBL1934445,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cncc(CO)c1,342.4,0,3.45,IC50,'=',100,nM,7,gKX@@eKcRp@
CHEMBL1934427,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccc([N+](=O)[O-])cc1,288.3,0,3.38,IC50,'=',340,nM,6.47,gKX@@eKcRp@
CHEMBL1934444,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccc(Cl)nc1,346.82,0,4.61,IC50,'=',910,nM,6.04,gKX@@eKcRp@
CHEMBL1934447,Cc1c(-c2ccc(C#N)cc2)c(C#N)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',1400,nM,5.85,gKX@@eKcRp@
CHEMBL520428,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCCC1,418.5,0,4.9,IC50,'=',1700,nM,5.77,gKX@@eKcRp@
CHEMBL1934432,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C(=O)c2ccccc2)c1C,392.41,0,4.55,IC50,'=',150,nM,6.82,gKX@@eKcRp@
CHEMBL519292,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1C[C@H](O)[C@@H](O)C1,436.47,0,2.45,IC50,'=',13700,nM,4.86,gKX@@eKcRp@
CHEMBL516752,Cc1cc(C)cc(N(c2cc(C(=O)N3CCCC3)n(C)c2)C(C)C)c1,339.48,0,4.42,IC50,'=',10000,nM,5,gKX@@eKcRp@
CHEMBL1934438,Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,306.37,0,4.73,IC50,'=',490,nM,6.31,gKX@@eKcRp@
CHEMBL1934442,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccccc1,311.39,0,4.56,IC50,'=',380,nM,6.42,gKX@@eKcRp@
CHEMBL480959,COC(=O)c1ccc(N(Cc2ccccc2)c2cc(C(=O)N3CCCC3)n(C)c2)cc1,417.51,0,4.39,IC50,'=',6100,nM,5.21,gKX@@eKcRp@
CHEMBL1934433,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(S(=O)(=O)c2ccccc2)c1C,428.47,0,4.09,IC50,'=',4700,nM,5.33,gKX@@eKcRp@
CHEMBL1924003,Cc1cc(/C=C/C(=O)O)c(C)n1-c1ccc2c(c1)OCO2,285.3,0,2.92,IC50,'=',50000,nM,4.3,gKX@@eKcRp@
CHEMBL1934433,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(S(=O)(=O)c2ccccc2)c1C,428.47,0,4.09,IC50,'=',130,nM,6.89,gKX@@eKcRp@
CHEMBL1934428,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C)c1C,302.33,0,3.39,IC50,'=',500,nM,6.3,gKX@@eKcRp@
CHEMBL1934444,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccc(Cl)nc1,346.82,0,4.61,IC50,'=',100,nM,7,gKX@@eKcRp@
CHEMBL1934440,COC(=O)c1c(-c2ccc(C#N)cc2)c(C)n(Cc2ccccc2)c1C,344.41,0,4.48,IC50,'=',710,nM,6.15,gKX@@eKcRp@
CHEMBL1934445,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cncc(CO)c1,342.4,0,3.45,IC50,'=',14,nM,7.85,gKX@@eKcRp@
CHEMBL1934433,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(S(=O)(=O)c2ccccc2)c1C,428.47,0,4.09,IC50,'=',4700,nM,5.33,gKX@@eKcRp@
CHEMBL1934432,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C(=O)c2ccccc2)c1C,392.41,0,4.55,IC50,'=',7700,nM,5.11,gKX@@eKcRp@
CHEMBL1934442,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccccc1,311.39,0,4.56,IC50,'=',1.4,nM,8.85,gKX@@eKcRp@
CHEMBL1934446,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cnc(Cl)c(CO)c1,376.85,0,4.1,IC50,'=',100,nM,7,gKX@@eKcRp@
CHEMBL1934429,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(-c2ccccc2)c1C,364.4,0,4.85,IC50,'=',4300,nM,5.37,gKX@@eKcRp@
CHEMBL1934445,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cncc(CO)c1,342.4,0,3.45,IC50,'=',440,nM,6.36,gKX@@eKcRp@
CHEMBL1934448,Cc1c(C#N)c(-c2ccc(C#N)cc2)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',910,nM,6.04,gKX@@eKcRp@
CHEMBL1934434,COC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,364.4,0,4.52,IC50,'=',5,nM,8.3,gKX@@eKcRp@
CHEMBL1934443,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1,312.38,0,3.96,IC50,'=',180,nM,6.75,gKX@@eKcRp@
CHEMBL1934444,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccc(Cl)nc1,346.82,0,4.61,IC50,'=',45,nM,7.35,gKX@@eKcRp@
CHEMBL481139,CCN(CC)C(=O)c1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cn1C,406.49,0,4.75,IC50,'=',990,nM,6,gKX@@eKcRp@
CHEMBL481686,Cc1cc(C)cc(N(Cc2ccc(CO)cc2)c2cc(C(=O)N3CCCC3)n(C)c2)c1,417.55,0,4.71,IC50,'=',5800,nM,5.24,gKX@@eKcRp@
CHEMBL1934430,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,378.43,0,4.91,IC50,'=',160,nM,6.8,gKX@@eKcRp@
CHEMBL1934427,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccc([N+](=O)[O-])cc1,288.3,0,3.38,IC50,'=',4200,nM,5.38,gKX@@eKcRp@
CHEMBL1934439,COC(=O)c1c(-c2ccccc2)c(C)n(Cc2ccccc2)c1C,319.4,0,4.61,IC50,'=',3700,nM,5.43,gKX@@eKcRp@
CHEMBL1934437,CC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,348.4,0,4.93,IC50,'=',390,nM,6.41,gKX@@eKcRp@
CHEMBL1934428,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C)c1C,302.33,0,3.39,IC50,'=',30,nM,7.52,gKX@@eKcRp@
CHEMBL1934442,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccccc1,311.39,0,4.56,IC50,'=',40,nM,7.4,gKX@@eKcRp@
CHEMBL1934447,Cc1c(-c2ccc(C#N)cc2)c(C#N)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',320,nM,6.5,gKX@@eKcRp@
CHEMBL1934448,Cc1c(C#N)c(-c2ccc(C#N)cc2)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',170,nM,6.77,gKX@@eKcRp@
CHEMBL1934447,Cc1c(-c2ccc(C#N)cc2)c(C#N)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',810,nM,6.09,gKX@@eKcRp@
CHEMBL1934438,Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,306.37,0,4.73,IC50,'=',6.7,nM,8.17,gKX@@eKcRp@
CHEMBL1934433,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(S(=O)(=O)c2ccccc2)c1C,428.47,0,4.09,IC50,'=',62,nM,7.21,gKX@@eKcRp@
CHEMBL1934447,Cc1c(-c2ccc(C#N)cc2)c(C#N)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',1100,nM,5.96,gKX@@eKcRp@
CHEMBL521251,CCOC(=O)c1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cn1C,379.42,0,4.45,IC50,'=',950,nM,6.02,gKX@@eKcRp@
CHEMBL481746,Cn1cc(N(Cc2ccc(CO)cc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,434.5,0,4,IC50,'=',5500,nM,5.26,gKX@@eKcRp@
CHEMBL481356,CC(C)N(c1ccc([N+](=O)[O-])cc1)c1cc(C(=O)N2CCCC2)n(C)c1,356.43,0,3.72,IC50,'=',14500,nM,4.84,gKX@@eKcRp@
CHEMBL1934438,Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,306.37,0,4.73,IC50,'=',2.2,nM,8.66,gKX@@eKcRp@
CHEMBL1934440,COC(=O)c1c(-c2ccc(C#N)cc2)c(C)n(Cc2ccccc2)c1C,344.41,0,4.48,IC50,'=',23,nM,7.64,gKX@@eKcRp@
CHEMBL1934434,COC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,364.4,0,4.52,IC50,'=',300,nM,6.52,gKX@@eKcRp@
CHEMBL1934436,Cc1c(CO)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,336.39,0,4.22,IC50,'=',3800,nM,5.42,gKX@@eKcRp@
CHEMBL1934435,Cc1c(C(=O)O)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,350.37,0,4.43,IC50,'=',6500,nM,5.19,gKX@@eKcRp@
CHEMBL1934442,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccccc1,311.39,0,4.56,IC50,'=',41,nM,7.39,gKX@@eKcRp@
CHEMBL1934430,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,378.43,0,4.91,IC50,'=',3200,nM,5.5,gKX@@eKcRp@
CHEMBL1934440,COC(=O)c1c(-c2ccc(C#N)cc2)c(C)n(Cc2ccccc2)c1C,344.41,0,4.48,IC50,'=',270,nM,6.57,gKX@@eKcRp@
CHEMBL1934434,COC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,364.4,0,4.52,IC50,'=',150,nM,6.82,gKX@@eKcRp@
CHEMBL1934435,Cc1c(C(=O)O)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,350.37,0,4.43,IC50,'=',620,nM,6.21,gKX@@eKcRp@
CHEMBL1934437,CC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,348.4,0,4.93,IC50,'=',6500,nM,5.19,gKX@@eKcRp@
CHEMBL1934448,Cc1c(C#N)c(-c2ccc(C#N)cc2)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',760,nM,6.12,gKX@@eKcRp@
CHEMBL1934436,Cc1c(CO)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,336.39,0,4.22,IC50,'=',660,nM,6.18,gKX@@eKcRp@
CHEMBL1934437,CC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,348.4,0,4.93,IC50,'=',900,nM,6.05,gKX@@eKcRp@
CHEMBL1934440,COC(=O)c1c(-c2ccc(C#N)cc2)c(C)n(Cc2ccccc2)c1C,344.41,0,4.48,IC50,'=',120,nM,6.92,gKX@@eKcRp@
CHEMBL519112,Cn1cc(N(Cc2ccccc2)c2ccc([N+](=O)[O-])cc2)cc1C(=O)O,351.36,0,3.97,IC50,'=',6200,nM,5.21,gKX@@eKcRp@
CHEMBL479988,CC(=O)c1ccc(N(Cc2ccccc2)c2cc(C(=O)N3CCCC3)n(C)c2)cc1,401.51,0,4.8,IC50,'=',2000,nM,5.7,gKX@@eKcRp@
CHEMBL480955,Cn1cc(N(Cc2ccccc2)c2ccc(C#N)cc2)cc1C(=O)N1CCCC1,384.48,0,4.47,IC50,'=',610,nM,6.21,gKX@@eKcRp@
CHEMBL481152,CCN(c1cc(C)cc(C)c1)c1cc(C(=O)N2CCCC2)n(C)c1,325.46,0,4.04,IC50,'=',22500,nM,4.65,gKX@@eKcRp@
CHEMBL516610,Cn1cc(Nc2ccc([N+](=O)[O-])cc2)cc1C(=O)N1CCCC1,314.35,0,2.91,IC50,'=',14700,nM,4.83,gKX@@eKcRp@
CHEMBL1934436,Cc1c(CO)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,336.39,0,4.22,IC50,'=',300,nM,6.52,gKX@@eKcRp@
CHEMBL1934435,Cc1c(C(=O)O)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,350.37,0,4.43,IC50,'=',190,nM,6.72,gKX@@eKcRp@
CHEMBL1934445,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cncc(CO)c1,342.4,0,3.45,IC50,'=',150,nM,6.82,gKX@@eKcRp@
CHEMBL1934434,COC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,364.4,0,4.52,IC50,'=',740,nM,6.13,gKX@@eKcRp@
CHEMBL1934446,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cnc(Cl)c(CO)c1,376.85,0,4.1,IC50,'=',280,nM,6.55,gKX@@eKcRp@
CHEMBL1934428,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C)c1C,302.33,0,3.39,IC50,'=',47,nM,7.33,gKX@@eKcRp@
CHEMBL1934440,COC(=O)c1c(-c2ccc(C#N)cc2)c(C)n(Cc2ccccc2)c1C,344.41,0,4.48,IC50,'=',27,nM,7.57,gKX@@eKcRp@
CHEMBL1934448,Cc1c(C#N)c(-c2ccc(C#N)cc2)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',78,nM,7.11,gKX@@eKcRp@
CHEMBL1934443,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1cccnc1,312.38,0,3.96,IC50,'=',23,nM,7.64,gKX@@eKcRp@
CHEMBL1934448,Cc1c(C#N)c(-c2ccc(C#N)cc2)cn1Cc1cnc(Cl)c(CO)c1,362.82,0,3.8,IC50,'=',160,nM,6.8,gKX@@eKcRp@
CHEMBL444991,Cc1cc(C)cc(Nc2cc(C(=O)N3CCCC3)n(C)c2)c1,297.4,0,3.62,IC50,'=',15000,nM,4.82,gKX@@eKcRp@
CHEMBL4861273,C[C@](O)(Cn1ccc(-c2ccc(F)cc2)c1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,431.39,0,4.57,IC50,'=',226,nM,6.65,gKX@@eKcRp@
CHEMBL5201606,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1-c1cnc(Cl)c(CO)c1,362.82,0,4.05,IC50,'=',110,nM,6.96,gKX@@eKcRp@
CHEMBL5201606,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1-c1cnc(Cl)c(CO)c1,362.82,0,4.05,IC50,'=',25,nM,7.6,gKX@@eKcRp@
