Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems [idcode]
CHEMBL1934437,CC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,348.4,0,4.93,IC50,'=',130,nM,6.89,gKX@@eKcRp@
CHEMBL1934435,Cc1c(C(=O)O)c(-c2ccc([N+](=O)[O-])cc2)c(C)n1Cc1ccccc1,350.37,0,4.43,IC50,'=',8700,nM,5.06,gKX@@eKcRp@
CHEMBL1934428,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C)c1C,302.33,0,3.39,IC50,'=',6200,nM,5.21,gKX@@eKcRp@
CHEMBL1934427,CCOC(=O)c1c(C)[nH]c(C)c1-c1ccc([N+](=O)[O-])cc1,288.3,0,3.38,IC50,'=',22,nM,7.66,gKX@@eKcRp@
CHEMBL1934430,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(Cc2ccccc2)c1C,378.43,0,4.91,IC50,'=',5.5,nM,8.26,gKX@@eKcRp@
CHEMBL1934439,COC(=O)c1c(-c2ccccc2)c(C)n(Cc2ccccc2)c1C,319.4,0,4.61,IC50,'=',130,nM,6.89,gKX@@eKcRp@
CHEMBL1934444,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccc(Cl)nc1,346.82,0,4.61,IC50,'=',24,nM,7.62,gKX@@eKcRp@
CHEMBL1934432,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C(=O)c2ccccc2)c1C,392.41,0,4.55,IC50,'=',2400,nM,5.62,gKX@@eKcRp@
CHEMBL1934428,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)c(C)n(C)c1C,302.33,0,3.39,IC50,'=',210,nM,6.68,gKX@@eKcRp@
CHEMBL1934442,Cc1c(C#N)c(-c2ccc(C#N)cc2)c(C)n1Cc1ccccc1,311.39,0,4.56,IC50,'=',3,nM,8.52,gKX@@eKcRp@
CHEMBL1934439,COC(=O)c1c(-c2ccccc2)c(C)n(Cc2ccccc2)c1C,319.4,0,4.61,IC50,'=',2600,nM,5.58,gKX@@eKcRp@
