Molecule_ChemBL_ID,Canonical Smiles,Molecular Weight,#RO5 Violations,AlogP,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ring Systems 2 [idcode]
CHEMBL449371,N#Cc1ccc(SC2CCC2)cc1C(F)(F)F,257.28,0,4.22,IC50,'=',167,nM,6.78,gFp@DiTt@@@
CHEMBL507671,N#Cc1ccc(Sc2ccccc2F)cc1C(F)(F)F,297.28,0,4.87,IC50,'=',184,nM,6.74,gFp@DiTt@@@
CHEMBL453244,COc1cc(SCC2CCC2)ccc1C#N,233.34,0,3.46,IC50,'=',441,nM,6.36,gFp@DiTt@@@
CHEMBL462664,CCCSc1ccc(C#N)c(C(F)(F)F)c1,245.27,0,4.08,IC50,'=',11,nM,7.96,gFp@DiTt@@@
CHEMBL490955,Cc1ccccc1Oc1ccc(C#N)cc1Cl,243.69,0,4.31,IC50,'=',46,nM,7.34,gFp@DiTt@@@
CHEMBL491493,COc1cc(Oc2ccccc2C)ccc1C#N,239.27,0,3.67,IC50,'=',81,nM,7.09,gFp@DiTt@@@
CHEMBL453740,CC(C)Sc1ccc(C#N)c(C(F)(F)F)c1,245.27,0,4.08,IC50,'=',89,nM,7.05,gFp@DiTt@@@
CHEMBL490957,COc1cc(Oc2cccc(C)c2)ccc1C#N,239.27,0,3.67,IC50,'=',197,nM,6.71,gFp@DiTt@@@
CHEMBL1085594,N#Cc1ccc(Oc2ccc(F)cc2F)cc1C(F)(F)F,299.2,0,4.65,IC50,'=',488,nM,6.31,gFp@DiTt@@@
CHEMBL3410850,N#Cc1ccc(N2[C@H]3CC[C@H]2CC(O)C3)cc1C(F)(F)F,296.29,0,3.07,IC50,'=',39.8,nM,7.4,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',86.9,nM,7.06,gFp@DiTt@@@
CHEMBL178957,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,375.27,0,4.04,IC50,'=',1746,nM,5.76,gFp@DiTt@@@
CHEMBL470204,Cc1ccccc1Oc1ccc(C#N)c(Cl)c1,243.69,0,4.31,IC50,'=',30,nM,7.52,gFp@DiTt@@@
CHEMBL470204,Cc1ccccc1Oc1ccc(C#N)c(Cl)c1,243.69,0,4.31,IC50,'=',57,nM,7.24,gFp@DiTt@@@
CHEMBL490956,Cc1ccccc1Sc1ccc(C#N)cc1Cl,259.76,0,4.67,IC50,'=',43,nM,7.37,gFp@DiTt@@@
CHEMBL449867,COc1cc(C#N)ccc1Oc1ccccc1C,239.27,0,3.67,IC50,'=',115,nM,6.94,gFp@DiTt@@@
CHEMBL453623,N#Cc1ccc(SCC2CC2)cc1C(F)(F)F,257.28,0,4.08,IC50,'=',133,nM,6.88,gFp@DiTt@@@
CHEMBL4746960,CC(Cn1cc(F)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,340.28,0,3.19,IC50,'=',462,nM,6.33,gFp@DiTt@@@
CHEMBL4800363,C[C@](O)(Cn1cc(F)cn1)C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1I,482.18,0,2.91,IC50,'=',5450,nM,5.26,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',140,nM,6.85,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',162,nM,6.79,gFp@DiTt@@@
CHEMBL3084689,N#Cc1ccc(N2[C@@H]3CC[C@H]2C[C@@H](O)C3)cc1Cl,262.74,0,2.7,IC50,'=',31.7,nM,7.5,gFp@DiTt@@@
CHEMBL188297,O=C1[C@@H]2[C@@H]3CC[C@@H](C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,354.28,0,3.15,IC50,'=',10,nM,8,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',400,nM,6.4,gFp@DiTt@@@
CHEMBL361222,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc(Br)c(C(F)(F)F)c1,386.17,0,3.78,IC50,'=',146,nM,6.84,gFp@DiTt@@@
CHEMBL2386395,O=c1cc(-c2ccc([N+](=O)[O-])cc2)oc2cccc(O)c12,283.24,0,3.07,IC50,'=',363.08,nM,6.44,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',162,nM,6.79,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',31,nM,7.51,gFp@DiTt@@@
CHEMBL448454,COc1cc(Sc2c(C)cccc2C)ccc1C#N,269.37,0,4.33,IC50,'=',30,nM,7.52,gFp@DiTt@@@
CHEMBL2441094,COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)c(C)c2)c1,349.39,0,4.75,IC50,'=',43,nM,7.37,gFp@DiTt@@@
CHEMBL2441107,COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)cc2)c1,335.36,0,4.45,IC50,'=',290,nM,6.54,gFp@DiTt@@@
CHEMBL2159545,N#Cc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F,322.33,0,4.65,IC50,'=',295.12,nM,6.53,gFp@DiTt@@@
CHEMBL2159542,O=[N+]([O-])c1ccc(C2=NO[C@H]3CCCCC[C@@H]23)c(C(F)(F)F)c1,328.29,0,4.3,IC50,'=',389.05,nM,6.41,gFp@DiTt@@@
CHEMBL2159573,Fc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1,287.26,0,4.14,IC50,'=',977.24,nM,6.01,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',223.87,nM,6.65,gFp@DiTt@@@
CHEMBL490957,COc1cc(Oc2cccc(C)c2)ccc1C#N,239.27,0,3.67,IC50,'=',57,nM,7.24,gFp@DiTt@@@
CHEMBL178957,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,375.27,0,4.04,IC50,'=',72,nM,7.14,gFp@DiTt@@@
CHEMBL178957,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,375.27,0,4.04,IC50,'=',198,nM,6.7,gFp@DiTt@@@
CHEMBL2159567,N#Cc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1,294.28,0,3.87,IC50,'=',1148.15,nM,5.94,gFp@DiTt@@@
CHEMBL455566,CCCCSc1ccc(C#N)c(OC)c1,221.32,0,3.46,IC50,'=',84,nM,7.08,gFp@DiTt@@@
CHEMBL2316545,NS(=O)(=O)c1ccc(OCCSc2nc3ccccc3[nH]2)cc1,349.44,0,2.38,IC50,'=',62000,nM,4.21,gFp@DiTt@@@
CHEMBL469333,COc1cccc(OC)c1Oc1ccc(C#N)c(C(F)(F)F)c1,323.27,0,4.39,IC50,'=',157,nM,6.8,gFp@DiTt@@@
CHEMBL513195,CCc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1,291.27,0,4.93,IC50,'=',356,nM,6.45,gFp@DiTt@@@
CHEMBL499137,Cc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1,277.24,0,4.68,IC50,'=',743,nM,6.13,gFp@DiTt@@@
CHEMBL490955,Cc1ccccc1Oc1ccc(C#N)cc1Cl,243.69,0,4.31,IC50,'=',46,nM,7.34,gFp@DiTt@@@
CHEMBL512837,COc1ccc(C)cc1Oc1ccc(C#N)c(C(F)(F)F)c1,307.27,0,4.69,IC50,'=',103,nM,6.99,gFp@DiTt@@@
CHEMBL4542153,C[C@](O)(CN1CCc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(Cl)c1,373.81,0,3.1,IC50,'=',130,nM,6.89,gFp@DiTt@@@
CHEMBL4438211,C[C@](O)(CN1CCc2c(F)cccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,407.37,0,3.47,IC50,'=',59,nM,7.23,gFp@DiTt@@@
CHEMBL4443566,C[C@](O)(CN1CCc2ccccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,389.38,0,3.33,IC50,'=',142,nM,6.85,gFp@DiTt@@@
CHEMBL4475765,C[C@@](O)(Cn1ccc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,405.35,0,4.06,IC50,'=',598,nM,6.22,gFp@DiTt@@@
CHEMBL182412,O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,321.3,0,3.41,IC50,'=',0.4,nM,9.4,gFp@DiTt@@@
CHEMBL183882,O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,337.34,0,4.02,IC50,'=',658,nM,6.18,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',173,nM,6.76,gFp@DiTt@@@
CHEMBL63560,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',270,nM,6.57,gFp@DiTt@@@
CHEMBL182412,O=C1[C@@H]2C3C=CC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,321.3,0,3.41,IC50,'=',66,nM,7.18,gFp@DiTt@@@
CHEMBL183882,O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,337.34,0,4.02,IC50,'=',23,nM,7.64,gFp@DiTt@@@
CHEMBL183882,O=C1[C@@H]2C3CCCC(CC3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,337.34,0,4.02,IC50,'=',179,nM,6.75,gFp@DiTt@@@
CHEMBL3262347,CC(C)(O)c1cn(-c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)nn1,316.24,0,2.42,IC50,'=',45000,nM,4.35,gFp@DiTt@@@
CHEMBL2159549,Fc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F,315.31,0,4.92,IC50,'=',5888.44,nM,5.23,gFp@DiTt@@@
CHEMBL2159539,N#Cc1ccc(C2=NOC3CCCCCC23)c(C(F)(F)F)c1,308.3,0,4.26,IC50,'=',1000,nM,6,gFp@DiTt@@@
CHEMBL2159539,N#Cc1ccc(C2=NOC3CCCCCC23)c(C(F)(F)F)c1,308.3,0,4.26,IC50,'=',1148.15,nM,5.94,gFp@DiTt@@@
CHEMBL2159573,Fc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1,287.26,0,4.14,IC50,'=',1148.15,nM,5.94,gFp@DiTt@@@
CHEMBL2159572,Fc1ccc(C2=NOC3CCCCC23)cc1C(F)(F)F,287.26,0,4.14,IC50,'=',1096.48,nM,5.96,gFp@DiTt@@@
CHEMBL2159569,O=[N+]([O-])c1ccc(C2=NOC3CCCCC23)cc1C(F)(F)F,314.26,0,3.91,IC50,'=',120.23,nM,6.92,gFp@DiTt@@@
CHEMBL2159732,O=[N+]([O-])c1ccc(C2=NO[C@H]3CCC[C@@H]23)cc1C(F)(F)F,300.24,0,3.52,IC50,'=',2511.89,nM,5.6,gFp@DiTt@@@
CHEMBL251552,N#Cc1ccc(OC2CCCCC2C#N)cc1C(F)(F)F,294.28,0,4.04,IC50,'=',13,nM,7.89,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',350,nM,6.46,gFp@DiTt@@@
CHEMBL178333,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,354.28,0,3.15,IC50,'=',12,nM,7.92,gFp@DiTt@@@
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,430.38,0,2.88,IC50,'=',725,nM,6.14,gFp@DiTt@@@
CHEMBL368906,O=C1[C@@H]2C3C=CC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,352.27,0,2.93,IC50,'=',119,nM,6.92,gFp@DiTt@@@
CHEMBL178333,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,354.28,0,3.15,IC50,'=',114,nM,6.94,gFp@DiTt@@@
CHEMBL367364,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1cccc(C(F)(F)F)c1,309.29,0,3.24,IC50,'=',317,nM,6.5,gFp@DiTt@@@
CHEMBL178333,O=C1[C@@H]2C3CCC(C3)[C@@H]2C(=O)N1c1ccc([N+](=O)[O-])c(C(F)(F)F)c1,354.28,0,3.15,IC50,'=',12,nM,7.92,gFp@DiTt@@@
CHEMBL806,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,276.21,0,3.21,IC50,'=',154,nM,6.81,gFp@DiTt@@@
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,292.21,0,2.32,IC50,'=',200,nM,6.7,gFp@DiTt@@@
