level_0,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
127,127,CHEMBL3661686,CC(=O)N1CCC(OC(=O)Nc2cc(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c(C)cc2C)C1,active,506.5780000000004,4.445420000000004,1,5,6.698970004336019
128,128,CHEMBL3661687,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)OC1CCOC1,active,451.49800000000033,4.305100000000004,1,5,7.113509274827518
129,129,CHEMBL3639605,Cc1cc(C)c(-c2nc3c([nH]2)CN(C(=O)N(C)C)CC3)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,510.64200000000045,4.624720000000004,1,4,7.045757490560675
130,130,CHEMBL3661688,Cc1cc(C)c(-c2nc3c([nH]2)COCC3)cc1C(=O)N1CCC(c2ccc(C(=O)N(C)C)cc2)CC1,intermediate,486.6160000000003,4.487840000000004,1,4,5.274088367704952
131,131,CHEMBL3661689,Cc1cc(C)c(-c2nc3c([nH]2)COCC3)cc1C(=O)N1CCC(c2ccc(F)cc2)CC1,intermediate,433.5270000000002,4.925140000000004,1,3,5.838631997765025
132,132,CHEMBL3661690,Cc1cc(C)c(-c2nc3c([nH]2)COCC3)cc1C(=O)N1CCC(c2ccc(S(C)(=O)=O)cc2)CC1,intermediate,493.6290000000003,4.189540000000004,1,5,5.266000713461613
133,133,CHEMBL3661691,COc1ccc(C2CCN(C(=O)c3cc(-c4nc5c([nH]4)COCC5)c(C)cc3C)CC2)cc1,active,445.5630000000003,4.794640000000005,1,4,6.508638306165727
134,134,CHEMBL3661692,CC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C(F)(F)F)cc5)CC4)c(C)cc3C)[nH]c2C1,active,524.5870000000002,5.636740000000006,1,3,7.3979400086720375
135,135,CHEMBL3661693,Cc1cc(C)c(-c2nc3c([nH]2)CN(C(=O)C2CC2)CC3)cc1C(=O)N1CCC(c2ccc(C#N)cc2)CC1,active,507.6380000000004,4.879720000000004,1,4,7.522878745280337
136,136,CHEMBL3661694,CC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(F)cc5)CC4)c(C)cc3C)[nH]c2C1,active,474.58000000000027,4.757040000000004,1,3,6.42021640338319
137,137,CHEMBL3661695,COc1cc(C)c(C(=O)N2CCC(c3ccc(C#N)cc3)CC2)cc1-c1nc2c([nH]1)COCC2,intermediate,456.5460000000003,4.357900000000003,1,5,5.655607726314889
138,138,CHEMBL3661696,Cc1cc(C)c(-c2nc3c([nH]2)CN(S(=O)(=O)C(C)C)CC3)cc1C(=O)N1CCC(c2ccc(F)cc2)CC1,active,538.6890000000003,4.948740000000005,1,4,6.026872146400302
139,139,CHEMBL3661697,Cc1cc(C)c(-c2nc3c([nH]2)CN(C(=O)C(C)C)CC3)cc1C(=O)N1CCC(c2ccc(F)cc2)CC1,active,502.63400000000036,5.393140000000006,1,3,6.259637310505756
140,140,CHEMBL3661698,Cc1cc(C)c(-c2nc3c([nH]2)COCC3)cc1C(=O)N1CCC(c2ccccc2)CC1,intermediate,415.5370000000002,4.786040000000004,1,3,5.279014255846261
141,141,CHEMBL3661699,COC(=O)N1CCc2nc(-c3cc(C(=O)N4CCC(c5ccc(C#N)cc5)CC4)c(C)cc3C)[nH]c2C1,active,497.59900000000033,4.709520000000004,1,5,7.522878745280337
